Sample,Date,Market_%,Cooperator_Choice,Cooperator_Pos_%,Cooperator_Ret_%,Cooperator_Total_%,Defector_Choice,Defector_Pos_%,Defector_Ret_%,Defector_Total_%,Tit_for_Tat_Choice,Tit_for_Tat_Pos_%,Tit_for_Tat_Ret_%,Tit_for_Tat_Total_%,Static_Aggressive_Choice,Static_Aggressive_Pos_%,Static_Aggressive_Ret_%,Static_Aggressive_Total_%,Static_Conservative_Choice,Static_Conservative_Pos_%,Static_Conservative_Ret_%,Static_Conservative_Total_%,Buy_and_Hold_Choice,Buy_and_Hold_Pos_%,Buy_and_Hold_Ret_%,Buy_and_Hold_Total_%
1,2024-10-16,0.08,neutral,3.0,0.00,0.00,aggressive,19.5,0.02,0.02,neutral,3.0,0.00,0.00,aggressive,19.5,0.02,0.02,conservative,0.0,0.00,0.00,market,100.0,0.08,0.08
2,2024-10-21,0.87,neutral,4.0,0.03,0.04,aggressive,19.5,0.17,0.19,aggressive,19.5,0.17,0.17,aggressive,19.5,0.17,0.19,conservative,1.0,0.01,0.01,market,100.0,0.87,0.95
3,2024-10-24,0.26,neutral,3.0,0.01,0.05,aggressive,19.5,0.05,0.24,aggressive,19.5,0.05,0.22,aggressive,19.5,0.05,0.24,conservative,0.0,0.00,0.01,market,100.0,0.26,1.21
4,2024-10-29,0.24,neutral,3.0,0.01,0.05,aggressive,19.5,0.05,0.28,aggressive,19.5,0.05,0.27,aggressive,19.5,0.05,0.28,conservative,0.0,0.00,0.01,market,100.0,0.24,1.46
5,2024-11-01,0.88,neutral,4.0,0.04,0.09,aggressive,19.5,0.17,0.46,aggressive,19.5,0.17,0.44,aggressive,19.5,0.17,0.46,conservative,1.0,0.01,0.02,market,100.0,0.88,2.35
6,2024-11-06,0.05,neutral,3.0,0.00,0.09,aggressive,19.5,0.01,0.46,aggressive,19.5,0.01,0.45,aggressive,19.5,0.01,0.46,conservative,0.0,0.00,0.02,market,100.0,0.05,2.40
7,2024-11-11,-0.34,neutral,4.0,-0.01,0.08,aggressive,19.5,-0.07,0.40,aggressive,19.5,-0.07,0.39,aggressive,19.5,-0.07,0.40,conservative,1.0,-0.00,0.01,market,100.0,-0.34,2.05
8,2024-11-14,1.42,neutral,3.0,0.04,0.12,aggressive,19.5,0.28,0.68,aggressive,19.5,0.28,0.66,aggressive,19.5,0.28,0.68,conservative,0.0,0.00,0.01,market,100.0,1.42,3.50
9,2024-11-19,0.57,neutral,3.0,0.02,0.14,aggressive,19.5,0.11,0.79,aggressive,19.5,0.11,0.77,aggressive,19.5,0.11,0.79,conservative,0.0,0.00,0.01,market,100.0,0.57,4.09
10,2024-11-22,0.79,aggressive,19.5,0.15,0.29,aggressive,19.5,0.15,0.94,aggressive,19.5,0.15,0.93,aggressive,19.5,0.15,0.94,conservative,0.0,0.00,0.01,market,100.0,0.79,4.91
11,2024-11-27,0.20,aggressive,19.5,0.04,0.33,aggressive,19.5,0.04,0.98,aggressive,19.5,0.04,0.97,aggressive,19.5,0.04,0.98,conservative,1.0,0.00,0.02,market,100.0,0.20,5.12
12,2024-12-03,1.18,aggressive,19.5,0.23,0.56,aggressive,19.5,0.23,1.22,aggressive,19.5,0.23,1.20,aggressive,19.5,0.23,1.22,conservative,0.0,0.00,0.02,market,100.0,1.18,6.36
13,2024-12-06,-0.03,aggressive,19.5,-0.01,0.55,aggressive,19.5,-0.01,1.21,aggressive,19.5,-0.01,1.20,aggressive,19.5,-0.01,1.21,conservative,0.0,-0.00,0.02,market,100.0,-0.03,6.33
14,2024-12-11,-0.59,aggressive,19.5,-0.12,0.44,aggressive,19.5,-0.12,1.09,aggressive,19.5,-0.12,1.08,aggressive,19.5,-0.12,1.09,conservative,0.0,-0.00,0.02,market,100.0,-0.59,5.70
15,2024-12-16,1.23,aggressive,19.5,0.24,0.68,aggressive,19.5,0.24,1.34,aggressive,19.5,0.24,1.32,aggressive,19.5,0.24,1.34,conservative,0.0,0.00,0.02,market,100.0,1.23,7.00
16,2024-12-19,0.93,aggressive,19.5,0.18,0.86,aggressive,19.5,0.18,1.52,aggressive,19.5,0.18,1.51,aggressive,19.5,0.18,1.52,conservative,1.0,0.01,0.03,market,100.0,0.93,8.00
17,2024-12-24,1.06,aggressive,19.5,0.21,1.07,aggressive,19.5,0.21,1.73,aggressive,19.5,0.21,1.72,aggressive,19.5,0.21,1.73,conservative,0.0,0.00,0.03,market,100.0,1.06,9.14
18,2024-12-30,-0.01,aggressive,19.5,-0.00,1.07,aggressive,19.5,-0.00,1.73,aggressive,19.5,-0.00,1.71,aggressive,19.5,-0.00,1.73,conservative,0.0,-0.00,0.03,market,100.0,-0.01,9.13
19,2025-01-03,0.00,aggressive,19.5,0.00,1.07,aggressive,19.5,0.00,1.73,aggressive,19.5,0.00,1.71,aggressive,19.5,0.00,1.73,conservative,0.0,0.00,0.03,market,100.0,0.00,9.13
20,2025-01-08,0.32,aggressive,19.5,0.06,1.13,aggressive,19.5,0.06,1.79,aggressive,19.5,0.06,1.78,aggressive,19.5,0.06,1.79,conservative,0.0,0.00,0.03,market,100.0,0.32,9.48
21,2025-01-14,-0.63,aggressive,19.5,-0.12,1.01,aggressive,19.5,-0.12,1.67,aggressive,19.5,-0.12,1.65,aggressive,19.5,-0.12,1.67,conservative,0.0,-0.00,0.03,market,100.0,-0.63,8.79
22,2025-01-17,-0.92,aggressive,19.5,-0.18,0.83,aggressive,19.5,-0.18,1.48,aggressive,19.5,-0.18,1.47,aggressive,19.5,-0.18,1.48,conservative,1.0,-0.01,0.02,market,100.0,-0.92,7.79
23,2025-01-23,-0.48,neutral,4.0,-0.02,0.81,aggressive,19.5,-0.09,1.39,aggressive,19.5,-0.09,1.37,aggressive,19.5,-0.09,1.39,conservative,1.0,-0.00,0.01,market,100.0,-0.48,7.27
24,2025-01-28,3.21,neutral,3.0,0.10,0.90,aggressive,19.5,0.63,2.02,neutral,3.0,0.10,1.47,aggressive,19.5,0.63,2.02,conservative,0.0,0.00,0.01,market,100.0,3.21,10.72
25,2025-01-31,-4.53,neutral,3.0,-0.14,0.77,aggressive,19.5,-0.88,1.12,aggressive,19.5,-0.88,0.58,aggressive,19.5,-0.88,1.12,conservative,0.0,-0.00,0.01,market,100.0,-4.53,5.70
26,2025-02-05,1.72,neutral,4.0,0.07,0.84,aggressive,19.5,0.34,1.46,neutral,4.0,0.07,0.65,aggressive,19.5,0.34,1.46,conservative,1.0,0.02,0.03,market,100.0,1.72,7.52
27,2025-02-10,-0.84,neutral,3.0,-0.03,0.81,aggressive,19.5,-0.16,1.29,aggressive,19.5,-0.16,0.48,aggressive,19.5,-0.16,1.29,conservative,0.0,-0.00,0.03,market,100.0,-0.84,6.62
28,2025-02-13,1.95,neutral,3.0,0.06,0.87,aggressive,19.5,0.38,1.68,neutral,3.0,0.06,0.54,aggressive,19.5,0.38,1.68,conservative,0.0,0.00,0.03,market,100.0,1.95,8.70
29,2025-02-19,0.09,neutral,4.0,0.00,0.87,aggressive,19.5,0.02,1.70,neutral,4.0,0.00,0.54,aggressive,19.5,0.02,1.70,conservative,1.0,0.00,0.03,market,100.0,0.09,8.79
30,2025-02-24,0.89,neutral,3.0,0.03,0.90,aggressive,19.5,0.17,1.87,aggressive,19.5,0.17,0.72,aggressive,19.5,0.17,1.87,conservative,0.0,0.00,0.03,market,100.0,0.89,9.76
