Sample,Date,Market_%,Cooperator_Pos,Cooperator_Ret,Defector_Pos,Defector_Ret,Tit_for_Tat_Pos,Tit_for_Tat_Ret,Conservative_Baseline_Pos,Conservative_Baseline_Ret,Aggressive_Baseline_Pos,Aggressive_Baseline_Ret,Buy_and_Hold_Pos,Buy_and_Hold_Ret
1,2024-10-16,0.08,17.4,0.01,55.4,0.04,32.9,0.03,12.1,0.01,62.6,0.05,100.0,0.08
2,2024-10-21,0.87,22.2,0.19,54.1,0.47,27.4,0.24,15.0,0.13,61.1,0.53,100.0,0.87
3,2024-10-24,0.26,27.4,0.07,62.8,0.16,33.1,0.09,8.4,0.02,57.1,0.15,100.0,0.26
4,2024-10-29,0.24,30.5,0.07,69.5,0.17,34.3,0.08,9.0,0.02,76.8,0.18,100.0,0.24
5,2024-11-01,0.88,33.8,0.30,81.7,0.72,31.2,0.27,7.6,0.07,70.1,0.62,100.0,0.88
6,2024-11-06,0.05,40.8,0.02,83.0,0.04,37.8,0.02,5.5,0.00,77.5,0.04,100.0,0.05
7,2024-11-11,-0.34,37.3,-0.13,80.0,-0.27,35.4,-0.12,5.7,-0.02,77.7,-0.26,100.0,-0.34
8,2024-11-14,1.42,34.4,0.49,72.8,1.03,34.2,0.49,8.0,0.11,75.2,1.07,100.0,1.42
9,2024-11-19,0.57,39.0,0.22,84.8,0.48,32.4,0.18,6.6,0.04,75.1,0.43,100.0,0.57
10,2024-11-22,0.79,44.5,0.35,84.9,0.67,32.9,0.26,5.4,0.04,75.3,0.60,100.0,0.79
11,2024-11-27,0.20,64.2,0.13,84.9,0.17,32.8,0.07,6.4,0.01,75.7,0.15,100.0,0.20
12,2024-12-03,1.18,65.5,0.77,82.9,0.98,33.0,0.39,9.5,0.11,75.1,0.89,100.0,1.18
13,2024-12-06,-0.03,75.9,-0.02,81.0,-0.02,34.6,-0.01,8.5,-0.00,74.3,-0.02,100.0,-0.03
14,2024-12-11,-0.59,75.3,-0.44,81.9,-0.48,35.3,-0.21,8.2,-0.05,70.1,-0.41,100.0,-0.59
15,2024-12-16,1.23,60.7,0.75,72.2,0.89,31.6,0.39,8.0,0.10,78.1,0.96,100.0,1.23
16,2024-12-19,0.93,77.5,0.72,80.1,0.75,32.1,0.30,7.7,0.07,77.6,0.72,100.0,0.93
17,2024-12-24,1.06,74.6,0.79,83.8,0.89,30.3,0.32,7.9,0.08,78.8,0.84,100.0,1.06
18,2024-12-30,-0.01,78.3,-0.01,83.7,-0.01,32.0,-0.00,6.9,-0.00,73.9,-0.01,100.0,-0.01
19,2025-01-03,0.00,77.7,0.00,80.6,0.00,34.0,0.00,7.5,0.00,77.0,0.00,100.0,0.00
20,2025-01-08,0.32,79.1,0.25,80.1,0.26,30.5,0.10,7.9,0.03,77.8,0.25,100.0,0.32
21,2025-01-14,-0.63,77.6,-0.49,80.6,-0.51,27.0,-0.17,9.6,-0.06,72.8,-0.46,100.0,-0.63
22,2025-01-17,-0.92,62.0,-0.57,74.2,-0.68,27.6,-0.25,9.2,-0.08,77.0,-0.71,100.0,-0.92
23,2025-01-23,-0.48,38.0,-0.18,63.7,-0.31,29.6,-0.14,5.6,-0.03,58.3,-0.28,100.0,-0.48
24,2025-01-28,3.21,33.1,1.06,57.7,1.85,31.1,1.00,9.3,0.30,57.6,1.85,100.0,3.21
25,2025-01-31,-4.53,37.3,-1.69,64.4,-2.92,34.0,-1.54,8.8,-0.40,60.8,-2.75,100.0,-4.53
26,2025-02-05,1.72,33.3,0.57,60.1,1.03,31.0,0.53,7.7,0.13,64.6,1.11,100.0,1.72
27,2025-02-10,-0.84,37.0,-0.31,59.3,-0.50,33.7,-0.28,7.9,-0.07,55.7,-0.47,100.0,-0.84
28,2025-02-13,1.95,31.2,0.61,60.2,1.17,31.6,0.62,15.3,0.30,55.3,1.08,100.0,1.95
29,2025-02-19,0.09,37.2,0.03,60.6,0.05,28.1,0.03,8.3,0.01,60.3,0.05,100.0,0.09
30,2025-02-24,0.89,41.1,0.37,58.2,0.52,25.7,0.23,6.6,0.06,61.2,0.54,100.0,0.89
31,2025-02-27,-0.88,61.5,-0.54,72.5,-0.64,32.4,-0.29,10.0,-0.09,77.0,-0.68,100.0,-0.88
32,2025-03-04,-0.75,38.9,-0.29,58.4,-0.44,27.8,-0.21,16.1,-0.12,55.2,-0.41,100.0,-0.75
33,2025-03-07,1.68,32.0,0.54,52.9,0.89,29.4,0.49,15.2,0.26,57.9,0.97,100.0,1.68
34,2025-03-12,-1.44,40.4,-0.58,59.7,-0.86,31.7,-0.46,14.9,-0.22,57.4,-0.83,100.0,-1.44
35,2025-03-17,0.32,27.9,0.09,55.5,0.18,34.4,0.11,12.1,0.04,60.1,0.19,100.0,0.32
36,2025-03-20,0.05,27.1,0.01,62.5,0.03,28.4,0.01,13.7,0.01,60.7,0.03,100.0,0.05
37,2025-03-25,1.35,28.8,0.39,59.5,0.80,26.7,0.36,16.5,0.22,63.0,0.85,100.0,1.35
38,2025-03-28,-1.70,32.5,-0.55,75.8,-1.29,31.0,-0.53,15.0,-0.26,75.2,-1.28,100.0,-1.70
39,2025-04-02,1.16,29.6,0.34,64.4,0.75,31.7,0.37,13.9,0.16,59.3,0.69,100.0,1.16
40,2025-04-07,2.40,30.5,0.73,71.6,1.72,32.8,0.79,15.0,0.36,72.0,1.73,100.0,2.40
41,2025-04-10,0.71,36.6,0.26,83.0,0.59,36.6,0.26,14.0,0.10,76.3,0.54,100.0,0.71
42,2025-04-15,0.14,45.4,0.06,82.9,0.12,35.0,0.05,17.0,0.02,71.6,0.10,100.0,0.14
43,2025-04-21,-0.06,41.2,-0.02,84.2,-0.05,39.1,-0.02,13.3,-0.01,70.8,-0.04,100.0,-0.06
44,2025-04-24,1.70,41.6,0.71,83.4,1.42,40.2,0.68,13.4,0.23,79.2,1.35,100.0,1.70
45,2025-04-29,1.21,66.6,0.81,80.5,0.97,41.4,0.50,8.1,0.10,75.1,0.91,100.0,1.21
46,2025-05-02,-0.36,77.0,-0.28,84.1,-0.30,43.5,-0.16,6.7,-0.02,70.4,-0.25,100.0,-0.36
47,2025-05-07,-1.47,63.3,-0.93,71.5,-1.05,27.3,-0.40,15.4,-0.23,74.8,-1.10,100.0,-1.47
48,2025-05-12,-0.09,39.3,-0.04,64.6,-0.06,27.2,-0.02,14.2,-0.01,64.9,-0.06,100.0,-0.09
49,2025-05-15,0.24,38.3,0.09,58.9,0.14,45.3,0.11,12.1,0.03,57.4,0.14,100.0,0.24
50,2025-05-20,-0.39,42.7,-0.17,75.4,-0.29,52.1,-0.20,12.7,-0.05,72.7,-0.28,100.0,-0.39
51,2025-05-23,0.83,26.7,0.22,58.9,0.49,50.0,0.42,12.5,0.10,60.0,0.50,100.0,0.83
52,2025-05-29,-1.78,30.1,-0.54,76.0,-1.35,45.7,-0.81,15.2,-0.27,77.3,-1.38,100.0,-1.78
53,2025-06-03,0.95,26.1,0.25,60.5,0.57,46.1,0.44,16.6,0.16,64.9,0.62,100.0,0.95
